sf6,o2,chf3,pressure,rf_power,predicted_etch_rate_um_min,predicted_selectivity,predicted_nonuniformity_pct,predicted_anisotropy_auxiliary,nominally_meets_primary_specs,prediction_confidence_state,supported_prediction_confidence_state,inside_design_hull,inside_leverage_envelope,inside_design_region,prediction_leverage,meets_all_primary_specs,grid_row,grid_column
22.0,3.2,12.0,100.0,100.0,0.3206069166666667,6.778333333333332,5.080333333333333,0.8536149999999997,False,rejected,unsupported,False,True,False,0.4902958333333334,False,6,24
22.5,3.2,12.0,100.0,100.0,0.3241205037878788,6.975879734848486,5.0998352272727265,0.8527368655303027,False,rejected,unsupported,False,True,False,0.4739026751893939,False,6,25
23.0,3.2,12.0,100.0,100.0,0.3275620113636364,7.173170454545456,5.117422348484848,0.8516079924242421,False,rejected,unsupported,False,True,False,0.4589378787878788,False,6,26
23.5,3.2,12.0,100.0,100.0,0.33093143939393943,7.370205492424242,5.133094696969697,0.8502283806818178,False,rejected,unsupported,False,True,False,0.44532729640151514,False,6,27
24.0,3.2,12.0,100.0,100.0,0.33422878787878796,7.566984848484849,5.146852272727272,0.8485980303030299,False,uncertain,unsupported,False,True,False,0.4330018939393939,False,6,28
24.5,3.2,12.0,100.0,100.0,0.3374540568181818,7.763508522727275,5.158695075757576,0.8467169412878784,False,uncertain,unsupported,False,True,False,0.4218977509469697,False,6,29
25.0,3.2,12.0,100.0,100.0,0.34060724621212124,7.959776515151516,5.168623106060606,0.8445851136363632,False,uncertain,unsupported,False,True,False,0.4119560606060606,False,6,30
25.5,3.2,12.0,100.0,100.0,0.34368835606060605,8.155788825757575,5.176636363636363,0.8422025473484845,False,uncertain,unsupported,False,True,False,0.4031231297348485,False,6,31
26.0,3.2,12.0,100.0,100.0,0.3466973863636364,8.351545454545457,5.182734848484848,0.839569242424242,False,uncertain,unsupported,False,True,False,0.3953503787878787,False,6,32
26.5,3.2,12.0,100.0,100.0,0.3496343371212121,8.547046401515153,5.18691856060606,0.836685198863636,False,uncertain,unsupported,False,True,False,0.38859434185606057,False,6,33
27.0,3.2,12.0,100.0,100.0,0.35249920833333337,8.742291666666668,5.189187499999999,0.8335504166666663,False,uncertain,uncertain,True,True,True,0.3828166666666666,False,6,34
